epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,290.028,1.33223,2.0568,2.10827,1.05519,0,0.28311,0.33496,0.27936,0.18815,0.29271,0.21183,0.21386,0.09891,1.15222,1.71176,1.38333,0.98467,0,0.000332681,0.000332681,0.0670646
2,742.853,1.21711,1.6903,1.51661,0.99518,0,0.63303,0.36676,0.38914,0.25173,0.57913,0.3413,0.3261,0.15581,1.19218,1.49521,1.19383,0.99253,0,0.000652827,0.000652827,0.0340514
3,990.158,1.16925,1.63144,1.40603,1.0032,0,0.58512,0.37646,0.40058,0.25283,0.47676,0.34057,0.29174,0.13532,1.22225,1.5492,1.20985,1.01098,0,0.000959774,0.000959774,0.00102501
4,1250.94,1.15009,1.56796,1.28507,0.98977,0,0.77904,0.43046,0.48703,0.34533,0.67206,0.36668,0.39641,0.19021,1.08494,1.48546,1.08053,0.97664,0,0.0009406,0.0009406,0.0009406
5,1595.66,1.11729,1.55099,1.21451,0.98101,0,0.74153,0.36538,0.49425,0.3288,0.48807,0.35236,0.34977,0.16354,1.1432,1.44724,1.1441,0.98323,0,0.0009208,0.0009208,0.0009208
6,1870.49,1.11453,1.51044,1.18996,0.97904,0,0.57962,0.451,0.46587,0.32753,0.48301,0.40002,0.37727,0.17726,1.0619,1.407,1.05449,0.96783,0,0.000901,0.000901,0.000901
7,2187.77,1.07843,1.48939,1.12582,0.97444,0,0.68632,0.44044,0.53013,0.38726,0.6552,0.40963,0.4727,0.23543,1.03472,1.39082,0.99829,0.96893,0,0.0008812,0.0008812,0.0008812
8,2431.53,1.06519,1.47324,1.10301,0.97479,0,0.55388,0.48523,0.53723,0.37853,0.49663,0.40465,0.41299,0.2071,1.0355,1.38869,1.02295,0.9597,0,0.0008614,0.0008614,0.0008614
9,2713.93,1.04961,1.48726,1.08388,0.95976,0,0.59647,0.53788,0.57608,0.3927,0.52393,0.45818,0.44555,0.21804,1.02827,1.34394,0.99569,0.95685,0,0.0008416,0.0008416,0.0008416
10,2985.13,1.02471,1.41385,1.0428,0.95847,0,0.5123,0.58758,0.55253,0.37831,0.44998,0.50818,0.41843,0.20215,1.03281,1.37298,0.96688,0.95045,0,0.0008218,0.0008218,0.0008218
11,3243.57,1.00186,1.40472,1.0068,0.94675,0,0.61098,0.54436,0.603,0.42975,0.57404,0.51302,0.55262,0.29839,0.95882,1.31954,0.93586,0.94095,0,0.000802,0.000802,0.000802
12,3483.75,1.00351,1.38352,0.98445,0.94653,0,0.56578,0.57409,0.58308,0.42424,0.53154,0.53163,0.49878,0.24027,0.96834,1.32618,0.92988,0.93879,0,0.0007822,0.0007822,0.0007822
13,3725.76,0.99924,1.38823,0.9762,0.94869,0,0.61954,0.562,0.60711,0.40703,0.59754,0.52734,0.5291,0.25124,0.98148,1.353,0.91279,0.95582,0,0.0007624,0.0007624,0.0007624
14,4219.58,0.9939,1.36386,0.9628,0.94945,0,0.63361,0.57143,0.61961,0.44458,0.53246,0.47558,0.48327,0.2618,0.96095,1.33067,0.85846,0.94442,0,0.0007426,0.0007426,0.0007426
15,4467.97,0.97004,1.35008,0.93035,0.94561,0,0.56641,0.53228,0.58927,0.42962,0.57969,0.42817,0.50923,0.26473,0.93355,1.3547,0.8811,0.91685,0,0.0007228,0.0007228,0.0007228
16,4757.73,0.95562,1.35967,0.92138,0.93499,0,0.72411,0.57856,0.65249,0.45995,0.62423,0.48442,0.51582,0.26148,0.95888,1.31691,0.86728,0.93991,0,0.000703,0.000703,0.000703
17,4991.93,0.94524,1.31618,0.88951,0.92898,0,0.66628,0.56457,0.63205,0.45066,0.58307,0.48327,0.5155,0.24223,0.96918,1.34124,0.86223,0.93854,0,0.0006832,0.0006832,0.0006832
18,5226.92,0.94913,1.36358,0.88208,0.93763,0,0.55367,0.58701,0.59903,0.43852,0.51821,0.54767,0.53379,0.29782,0.92747,1.27746,0.85942,0.92577,0,0.0006634,0.0006634,0.0006634
19,5458.91,0.9343,1.31033,0.87657,0.92726,0,0.67601,0.60879,0.65019,0.46529,0.60834,0.54198,0.51529,0.29091,0.93377,1.30183,0.84219,0.92881,0,0.0006436,0.0006436,0.0006436
20,5737.53,0.94455,1.31541,0.90142,0.93786,0,0.61734,0.62178,0.62968,0.44502,0.56016,0.54348,0.4889,0.26303,0.91295,1.34755,0.82087,0.92935,0,0.0006238,0.0006238,0.0006238
21,5978.88,0.92917,1.32623,0.87196,0.93744,0,0.57923,0.62803,0.63859,0.45813,0.52958,0.56535,0.56181,0.29956,0.91666,1.29274,0.81431,0.92897,0,0.000604,0.000604,0.000604
22,6222.6,0.92532,1.31655,0.86018,0.92554,0,0.65052,0.63433,0.65431,0.46975,0.56076,0.51729,0.51295,0.27398,0.9215,1.30244,0.83856,0.93306,0,0.0005842,0.0005842,0.0005842
23,6583.25,0.91156,1.28288,0.84509,0.922,0,0.6699,0.62897,0.64962,0.47843,0.61502,0.57771,0.57667,0.31514,0.91847,1.3123,0.82154,0.91799,0,0.0005644,0.0005644,0.0005644
24,6924.36,0.91241,1.27672,0.84169,0.92533,0,0.61723,0.62335,0.65125,0.4651,0.57697,0.52211,0.53387,0.28758,0.91487,1.29645,0.82517,0.92011,0,0.0005446,0.0005446,0.0005446
25,7248,0.9007,1.28031,0.81885,0.91775,0,0.6189,0.64285,0.63362,0.45228,0.56128,0.57838,0.54615,0.28875,0.90664,1.26656,0.78797,0.92097,0,0.0005248,0.0005248,0.0005248
26,7547.94,0.899,1.25887,0.81412,0.90837,0,0.63974,0.63647,0.64683,0.47074,0.58861,0.50748,0.51499,0.29239,0.88877,1.27681,0.83902,0.91091,0,0.000505,0.000505,0.000505
27,7881.71,0.88936,1.25045,0.80439,0.91238,0,0.74041,0.56925,0.67251,0.49217,0.69146,0.51978,0.58837,0.32543,0.8776,1.27701,0.78941,0.91161,0,0.0004852,0.0004852,0.0004852
28,8166.51,0.90253,1.27588,0.80358,0.91622,0,0.68304,0.63459,0.70893,0.5309,0.65293,0.58976,0.63918,0.35602,0.87233,1.25883,0.79405,0.91514,0,0.0004654,0.0004654,0.0004654
29,8397.16,0.8677,1.24256,0.78532,0.90692,0,0.68065,0.65023,0.69237,0.5084,0.59309,0.55941,0.5476,0.31029,0.87172,1.25777,0.79341,0.91546,0,0.0004456,0.0004456,0.0004456
30,8774.29,0.86461,1.23819,0.77176,0.90946,0,0.58192,0.70042,0.68153,0.50346,0.57026,0.5317,0.55704,0.31471,0.87939,1.2774,0.77551,0.90826,0,0.0004258,0.0004258,0.0004258
31,9001.7,0.8681,1.25459,0.77807,0.91358,0,0.70251,0.60511,0.6927,0.5167,0.66845,0.57843,0.62616,0.32686,0.86164,1.25161,0.74085,0.90188,0,0.000406,0.000406,0.000406
32,9235.85,0.85632,1.2396,0.74778,0.90567,0,0.65784,0.66445,0.71834,0.51479,0.56461,0.57527,0.55239,0.30459,0.86566,1.28196,0.75143,0.91074,0,0.0003862,0.0003862,0.0003862
33,9739.6,0.85468,1.23053,0.76149,0.9051,0,0.69609,0.65679,0.67814,0.48707,0.5932,0.56065,0.55324,0.31333,0.86444,1.24525,0.76927,0.9113,0,0.0003664,0.0003664,0.0003664
34,10001.9,0.84004,1.22061,0.74706,0.90629,0,0.69137,0.67883,0.71409,0.52166,0.65436,0.63373,0.63396,0.34819,0.86727,1.24639,0.74776,0.90696,0,0.0003466,0.0003466,0.0003466
